id,composite_key,timestamp,date,route,airline,flight_number,departure_time,arrival_time,booking_window,cabin_class,fare_class,base_fare,taxes,fees,total_fare,currency,source,status,is_live_scraped,quality_score,is_usable
sel_obs_DEL_BOM_2026-08-21_IndiGo_0,DEL-BOM_2026-08-21_IndiGo_6E-372,2026-09-19T10:33:45.860853Z,2026-08-21,DEL-BOM,IndiGo,6E-372,06:30,08:45,T+1,Economy,Standard,3196.79,584.78,116.96,3898.53,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-21_AirIndia_1,DEL-BOM_2026-08-21_Air India_AI-651,2026-09-19T10:33:45.860853Z,2026-08-21,DEL-BOM,Air India,AI-651,10:30,12:45,T+1,Economy,Standard,3474.09,635.5,127.1,4236.7,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-21_AirIndiaExpress_2,DEL-BOM_2026-08-21_Air India Express_IX-331,2026-09-19T10:33:45.860853Z,2026-08-21,DEL-BOM,Air India Express,IX-331,14:30,16:45,T+1,Economy,Standard,3509.05,641.9,128.38,4279.33,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-21_AkasaAir_3,DEL-BOM_2026-08-21_Akasa Air_QP-224,2026-09-19T10:33:45.860853Z,2026-08-21,DEL-BOM,Akasa Air,QP-224,18:30,20:45,T+1,Economy,Standard,3817.76,698.37,139.67,4655.8,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-22_IndiGo_0,DEL-BOM_2026-08-22_IndiGo_6E-192,2026-09-19T10:33:52.779691Z,2026-08-22,DEL-BOM,IndiGo,6E-192,06:30,08:45,T+2,Economy,Standard,3379.58,618.22,123.64,4121.44,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-22_AirIndia_1,DEL-BOM_2026-08-22_Air India_AI-584,2026-09-19T10:33:52.779691Z,2026-08-22,DEL-BOM,Air India,AI-584,10:30,12:45,T+2,Economy,Standard,3555.13,650.33,130.07,4335.53,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-22_AirIndiaExpress_2,DEL-BOM_2026-08-22_Air India Express_IX-254,2026-09-19T10:33:52.779691Z,2026-08-22,DEL-BOM,Air India Express,IX-254,14:30,16:45,T+2,Economy,Standard,3696.97,676.27,135.25,4508.5,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-22_AkasaAir_3,DEL-BOM_2026-08-22_Akasa Air_QP-915,2026-09-19T10:33:52.779691Z,2026-08-22,DEL-BOM,Akasa Air,QP-915,18:30,20:45,T+2,Economy,Standard,3874.92,708.83,141.77,4725.51,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-23_IndiGo_0,DEL-BOM_2026-08-23_IndiGo_6E-574,2026-09-19T10:33:59.834736Z,2026-08-23,DEL-BOM,IndiGo,6E-574,06:30,08:45,T+3,Economy,Standard,3605.82,659.6,131.92,4397.34,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
sel_obs_DEL_BOM_2026-08-23_AirIndia_1,DEL-BOM_2026-08-23_Air India_AI-363,2026-09-19T10:33:59.834736Z,2026-08-23,DEL-BOM,Air India,AI-363,10:30,12:45,T+3,Economy,Standard,3676.63,672.55,134.51,4483.69,INR,Selenium Scraper Pipeline,AVAILABLE,False,98,True
